prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,512,128,512,800.336
16,512,128,1024,1449.06
16,512,128,2048,4532.8
16,512,128,4096,9047.91
16,512,128,8192,18058.4
16,512,128,16384,36039.8
16,1024,0,0,40.97
16,1024,1,16,40.222
16,1024,1,32,40.2967
16,1024,1,64,40.3507
16,1024,1,128,40.296
16,1024,1,256,40.4473
16,1024,1,512,40.627
16,1024,1,1024,41.3203
16,1024,1,2048,72.754
16,1024,1,4096,137.386
16,1024,1,8192,264.958
16,1024,1,16384,520.612
16,1024,2,16,40.2533
16,1024,2,32,40.328
16,1024,2,64,40.2857
16,1024,2,128,40.35
16,1024,2,256,40.4777
16,1024,2,512,41.0117
16,1024,2,1024,41.7043
16,1024,2,2048,73.7883
16,1024,2,4096,137.892
16,1024,2,8192,266.056
16,1024,2,16384,521.366
16,1024,4,16,46.3233
16,1024,4,32,46.5467
16,1024,4,64,46.772
16,1024,4,128,50.2907
16,1024,4,256,54.483
16,1024,4,512,62.2253
16,1024,4,1024,78.4287
16,1024,4,2048,140.215
16,1024,4,4096,242.985
16,1024,4,8192,367.579
16,1024,4,16384,617.79
16,1024,8,16,51.5717
16,1024,8,32,51.7723
16,1024,8,64,52.1993
16,1024,8,128,59.3143
16,1024,8,256,67.3563
16,1024,8,512,82.7263
16,1024,8,1024,114.458
16,1024,8,2048,206.549
16,1024,8,4096,341.19
16,1024,8,8192,593.974
16,1024,8,16384,1098.37
16,1024,16,16,62.2157
16,1024,16,32,62.5577
16,1024,16,64,63.2717
16,1024,16,128,77.4147
16,1024,16,256,93.2443
16,1024,16,512,123.898
16,1024,16,1024,186.671
16,1024,16,2048,340.762
16,1024,16,4096,600.536
16,1024,16,8192,1105.88
16,1024,16,16384,2113.02
16,1024,32,16,83.6563
16,1024,32,32,84.8713
16,1024,32,64,85.8753
16,1024,32,128,113.674
16,1024,32,256,144.563
16,1024,32,512,205.776
16,1024,32,1024,332.172
16,1024,32,2048,589.314
16,1024,32,4096,1093.91
16,1024,32,8192,2124.57
16,1024,32,16384,4157.17
16,1024,64,16,125.459
16,1024,64,32,126.611
16,1024,64,64,129.704
16,1024,64,128,187.772
16,1024,64,256,259.935
16,1024,64,512,386.291
16,1024,64,1024,667.837
16,1024,64,2048,1199.46
16,1024,64,4096,2350.21
16,1024,64,8192,4663.72
16,1024,64,16384,10665
16,1024,128,16,207.04
16,1024,128,32,209.641
16,1024,128,64,214.519
16,1024,128,128,334.699
16,1024,128,256,486.027
16,1024,128,512,806.071
16,1024,128,1024,1458.97
16,1024,128,2048,4535.46
16,1024,128,4096,9056.15
16,1024,128,8192,18022.5
16,1024,128,16384,36056.5
16,2048,0,0,72.7423
16,2048,1,16,72.263
16,2048,1,32,72.189
16,2048,1,64,72.1677
16,2048,1,128,72.1247
16,2048,1,256,72.2517
16,2048,1,512,72.381
16,2048,1,1024,72.4443
16,2048,1,2048,73.0743
16,2048,1,4096,137.572
16,2048,1,8192,265.258
16,2048,1,16384,520.563
16,2048,2,16,72.1963
16,2048,2,32,72.2317
16,2048,2,64,72.081
16,2048,2,128,72.1353
16,2048,2,256,72.3803
16,2048,2,512,72.572
16,2048,2,1024,72.903
16,2048,2,2048,74.0983
16,2048,2,4096,138.416
16,2048,2,8192,266.174
16,2048,2,16384,521.54
16,2048,4,16,77.664
16,2048,4,32,77.884
16,2048,4,64,78.1743
16,2048,4,128,81.725
16,2048,4,256,85.331
16,2048,4,512,92.9547
16,2048,4,1024,109.113
16,2048,4,2048,141.956
16,2048,4,4096,267.09
16,2048,4,8192,461.035
16,2048,4,16384,712.561
16,2048,8,16,82.663
16,2048,8,32,82.845
16,2048,8,64,83.3997
16,2048,8,128,90.386
16,2048,8,256,98.267
16,2048,8,512,113.916
16,2048,8,1024,145.22
16,2048,8,2048,208.488
16,2048,8,4096,394.216
16,2048,8,8192,656.67
16,2048,8,16384,1162.32
16,2048,16,16,93.191
16,2048,16,32,93.6177
16,2048,16,64,94.1767
16,2048,16,128,108.438
16,2048,16,256,124.194
16,2048,16,512,155.319
16,2048,16,1024,217.016
16,2048,16,2048,343.395
16,2048,16,4096,651.143
16,2048,16,8192,1169.12
16,2048,16,16384,2173.41
16,2048,32,16,118.562
16,2048,32,32,119.116
16,2048,32,64,119.787
16,2048,32,128,147.393
16,2048,32,256,176.588
16,2048,32,512,237.955
16,2048,32,1024,361.711
16,2048,32,2048,614.098
16,2048,32,4096,1126.91
16,2048,32,8192,2162.38
16,2048,32,16384,4192.88
16,2048,64,16,161.026
16,2048,64,32,162.348
16,2048,64,64,164.855
16,2048,64,128,224.664
16,2048,64,256,293.166
16,2048,64,512,430.896
16,2048,64,1024,669.362
16,2048,64,2048,1286.98
16,2048,64,4096,2407.85
16,2048,64,8192,4737.3
16,2048,64,16384,9613.38
16,2048,128,16,243.693
16,2048,128,32,245.806
16,2048,128,64,251.108
16,2048,128,128,373.306
16,2048,128,256,522.438
16,2048,128,512,810.804
16,2048,128,1024,1460.01
16,2048,128,2048,4559.86
16,2048,128,4096,9068.57
16,2048,128,8192,18078.2
16,2048,128,16384,36046.9
16,4096,0,0,136.61
16,4096,1,16,135.816
16,4096,1,32,135.78
16,4096,1,64,135.715
16,4096,1,128,135.889
16,4096,1,256,135.823
16,4096,1,512,136.093
16,4096,1,1024,136.079
16,4096,1,2048,136.081
16,4096,1,4096,137.636
16,4096,1,8192,265.384
16,4096,1,16384,520.891
16,4096,2,16,135.716
16,4096,2,32,135.776
16,4096,2,64,135.78
16,4096,2,128,135.758
16,4096,2,256,135.833
16,4096,2,512,136.248
16,4096,2,1024,136.366
16,4096,2,2048,136.483
16,4096,2,4096,137.955
16,4096,2,8192,265.802
16,4096,2,16384,521.567
16,4096,4,16,139.866
16,4096,4,32,139.95
16,4096,4,64,140.154
16,4096,4,128,144.046
16,4096,4,256,147.479
16,4096,4,512,155.214
16,4096,4,1024,171.98
16,4096,4,2048,203.778
16,4096,4,4096,268.989
16,4096,4,8192,520.372
16,4096,4,16384,900.546
16,4096,8,16,144.846
16,4096,8,32,145.019
16,4096,8,64,145.476
16,4096,8,128,152.517
16,4096,8,256,160.259
16,4096,8,512,175.671
16,4096,8,1024,207.424
16,4096,8,2048,270.419
16,4096,8,4096,400.325
16,4096,8,8192,770.895
16,4096,8,16384,1296.85
16,4096,16,16,155.236
16,4096,16,32,155.577
16,4096,16,64,156.186
16,4096,16,128,170.659
16,4096,16,256,186.38
16,4096,16,512,217.379
16,4096,16,1024,280.02
16,4096,16,2048,404.412
16,4096,16,4096,662.848
16,4096,16,8192,1286.62
16,4096,16,16384,2351.4
16,4096,32,16,180.524
16,4096,32,32,180.998
16,4096,32,64,181.658
16,4096,32,128,214.469
16,4096,32,256,249.52
16,4096,32,512,301.014
16,4096,32,1024,425.386
16,4096,32,2048,674.897
16,4096,32,4096,1199.94
16,4096,32,8192,2282.83
16,4096,32,16384,4389.39
16,4096,64,16,223.771
16,4096,64,32,225.073
16,4096,64,64,228.017
16,4096,64,128,293.519
16,4096,64,256,367.118
16,4096,64,512,492.291
16,4096,64,1024,759.348
16,4096,64,2048,1375.07
16,4096,64,4096,2701.98
16,4096,64,8192,6695
16,4096,64,16384,13035.5
16,4096,128,16,314.568
16,4096,128,32,316.489
16,4096,128,64,321.417
16,4096,128,128,445.715
16,4096,128,256,595.761
16,4096,128,512,895.196
16,4096,128,1024,1522.88
16,4096,128,2048,4597.58
16,4096,128,4096,9111.52
16,4096,128,8192,18077
16,4096,128,16384,36076.5
16,8192,0,0,264.264
16,8192,1,16,263.708
16,8192,1,32,263.793
16,8192,1,64,263.731
16,8192,1,128,263.914
16,8192,1,256,264.092
16,8192,1,512,263.944
16,8192,1,1024,264.115
16,8192,1,2048,263.901
16,8192,1,4096,264.019
16,8192,1,8192,265.618
16,8192,1,16384,520.84
16,8192,2,16,263.626
16,8192,2,32,263.91
16,8192,2,64,263.743
16,8192,2,128,263.723
16,8192,2,256,263.855
16,8192,2,512,264.247
16,8192,2,1024,264.209
16,8192,2,2048,264.527
16,8192,2,4096,264.039
16,8192,2,8192,266.164
16,8192,2,16384,521.5
16,8192,4,16,264.392
16,8192,4,32,264.82
16,8192,4,64,264.613
16,8192,4,128,268.704
16,8192,4,256,271.912
16,8192,4,512,280.266
16,8192,4,1024,296.561
16,8192,4,2048,328.027
16,8192,4,4096,392.45
16,8192,4,8192,527.155
16,8192,4,16384,1026.73
16,8192,8,16,268.989
16,8192,8,32,269.061
16,8192,8,64,269.406
16,8192,8,128,276.359
16,8192,8,256,284.712
16,8192,8,512,299.914
16,8192,8,1024,331.281
16,8192,8,2048,395.14
16,8192,8,4096,523.645
16,8192,8,8192,786.444
16,8192,8,16384,1526.53
16,8192,16,16,279.324
16,8192,16,32,279.623
16,8192,16,64,280.488
16,8192,16,128,294.837
16,8192,16,256,310.504
16,8192,16,512,340.991
16,8192,16,1024,404.391
16,8192,16,2048,530.156
16,8192,16,4096,786.831
16,8192,16,8192,1308.28
16,8192,16,16384,2548.37
16,8192,32,16,304.289
16,8192,32,32,304.61
16,8192,32,64,306.039
16,8192,32,128,337.973
16,8192,32,256,372.768
16,8192,32,512,442.654
16,8192,32,1024,553.694
