layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,128,128,64,1,407.584
attention,16,128,128,128,1,566.402
attention,16,128,128,256,1,893.794
attention,16,128,128,512,1,1551.55
attention,16,128,128,1024,1,3141.67
attention,16,128,128,2048,1,9339.12
attention,16,128,128,4096,1,18327.9
attention,16,128,128,8192,1,46342.8
attention,16,128,128,16384,1,98402.4
attention,16,256,0,0,1,58.654
attention,16,256,1,16,1,56.769
attention,16,256,1,32,1,56.703
attention,16,256,1,64,1,56.704
attention,16,256,1,128,1,56.448
attention,16,256,1,256,1,58.496
attention,16,256,1,512,1,85.729
attention,16,256,1,1024,1,146.464
attention,16,256,1,2048,1,266.881
attention,16,256,1,4096,1,509.088
attention,16,256,1,8192,1,990.978
attention,16,256,1,16384,1,1969.64
attention,16,256,2,16,1,56.32
attention,16,256,2,32,1,56.447
attention,16,256,2,64,1,55.968
attention,16,256,2,128,1,55.584
attention,16,256,2,256,1,58.497
attention,16,256,2,512,1,85.791
attention,16,256,2,1024,1,146.4
attention,16,256,2,2048,1,267.842
attention,16,256,2,4096,1,509.411
attention,16,256,2,8192,1,991.073
attention,16,256,2,16384,1,1969.12
attention,16,256,4,16,1,56.288
attention,16,256,4,32,1,56.223
attention,16,256,4,64,1,56.193
attention,16,256,4,128,1,56.192
attention,16,256,4,256,1,57.791
attention,16,256,4,512,1,86.465
attention,16,256,4,1024,1,147.329
attention,16,256,4,2048,1,269.248
attention,16,256,4,4096,1,512.222
attention,16,256,4,8192,1,995.874
attention,16,256,4,16384,1,1963.01
attention,16,256,8,16,1,73.375
attention,16,256,8,32,1,73.825
attention,16,256,8,64,1,80.353
attention,16,256,8,128,1,89.023
attention,16,256,8,256,1,105.473
attention,16,256,8,512,1,162.273
attention,16,256,8,1024,1,286.303
attention,16,256,8,2048,1,531.137
attention,16,256,8,4096,1,1018.27
attention,16,256,8,8192,1,1994.91
attention,16,256,8,16384,1,3941.96
attention,16,256,16,16,1,87.295
attention,16,256,16,32,1,88.033
attention,16,256,16,64,1,101.952
attention,16,256,16,128,1,119.104
attention,16,256,16,256,1,150.432
attention,16,256,16,512,1,240.415
attention,16,256,16,1024,1,423.746
attention,16,256,16,2048,1,787.968
attention,16,256,16,4096,1,1526.31
attention,16,256,16,8192,1,2994.15
attention,16,256,16,16384,1,5926.32
attention,16,256,32,16,1,116.351
attention,16,256,32,32,1,117.695
attention,16,256,32,64,1,145.663
attention,16,256,32,128,1,180.321
attention,16,256,32,256,1,241.567
attention,16,256,32,512,1,391.424
attention,16,256,32,1024,1,698.176
attention,16,256,32,2048,1,1307.39
attention,16,256,32,4096,1,2544.9
attention,16,256,32,8192,1,4993.55
attention,16,256,32,16384,1,9864.15
attention,16,256,64,16,1,172.832
attention,16,256,64,32,1,175.039
attention,16,256,64,64,1,232.864
attention,16,256,64,128,1,299.616
attention,16,256,64,256,1,428.128
attention,16,256,64,512,1,715.682
attention,16,256,64,1024,1,1300.26
attention,16,256,64,2048,1,2624.29
attention,16,256,64,4096,1,5286.95
attention,16,256,64,8192,1,10295.3
attention,16,256,64,16384,1,20371.2
attention,16,256,128,16,1,284.671
attention,16,256,128,32,1,292.224
attention,16,256,128,64,1,418.882
attention,16,256,128,128,1,582.21
attention,16,256,128,256,1,913.41
attention,16,256,128,512,1,1567.62
attention,16,256,128,1024,1,3144.81
attention,16,256,128,2048,1,9360.27
attention,16,256,128,4096,1,18334.4
attention,16,256,128,8192,1,45862.6
attention,16,256,128,16384,1,97309.7
attention,16,512,0,0,1,88.896
attention,16,512,1,16,1,87.202
attention,16,512,1,32,1,86.591
attention,16,512,1,64,1,86.816
