layer,pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
attention,16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.09,4
attention,16,n<=16,sr<=15%,kvB<=1k,kp=0,0.2051,4
attention,16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.1662,4
attention,16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.0962,4
attention,16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0025,4
attention,16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1652,4
attention,16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.0205,4
attention,16,n<=16,sr<=15%,kvB<=4k,kp=0,0.145,4
attention,16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.1117,4
attention,16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.1167,4
attention,16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.1381,4
attention,16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.1098,4
attention,16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.1085,4
attention,16,n<=16,sr<=40%,kvB<=16k,kp=0,0.1088,4
attention,16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.0299,4
attention,16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0762,4
attention,16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.1053,4
attention,16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1745,4
attention,16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.1066,4
attention,16,n<=16,sr<=40%,kvB<=1k,kp=0,0.205,4
attention,16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.1583,4
attention,16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.1232,4
attention,16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.0478,4
attention,16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.1458,4
attention,16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.0046,4
attention,16,n<=16,sr<=40%,kvB<=4k,kp=0,0.1313,4
attention,16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.0913,2
attention,16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.0968,2
