layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,512,1,4096,1,1164.32
attention,16,512,1,8192,1,1165.13
attention,16,512,1,16384,1,1165.69
attention,16,512,2,16,1,1345.09
attention,16,512,2,32,1,1342.73
attention,16,512,2,64,1,1338.06
attention,16,512,2,128,1,1330.13
attention,16,512,2,256,1,1309.76
attention,16,512,2,512,1,1304.19
attention,16,512,2,1024,1,1249.23
attention,16,512,2,2048,1,1165.22
attention,16,512,2,4096,1,1164.24
attention,16,512,2,8192,1,1164.39
attention,16,512,2,16384,1,1165.58
attention,16,512,4,16,1,1522.07
attention,16,512,4,32,1,1519.06
attention,16,512,4,64,1,1514.42
attention,16,512,4,128,1,1509.73
attention,16,512,4,256,1,1478.73
attention,16,512,4,512,1,1434.51
attention,16,512,4,1024,1,1358.01
attention,16,512,4,2048,1,1179.94
attention,16,512,4,4096,1,1180.46
attention,16,512,4,8192,1,1179.48
attention,16,512,4,16384,1,1178.73
attention,16,512,8,16,1,1871.13
attention,16,512,8,32,1,1880.57
attention,16,512,8,64,1,1846.95
attention,16,512,8,128,1,1808.02
attention,16,512,8,256,1,1779.49
attention,16,512,8,512,1,1682.83
attention,16,512,8,1024,1,1531.88
attention,16,512,8,2048,1,1195.23
attention,16,512,8,4096,1,1195.27
attention,16,512,8,8192,1,1191.43
attention,16,512,8,16384,1,1193.59
attention,16,512,16,16,1,2506.96
attention,16,512,16,32,1,2505.51
attention,16,512,16,64,1,2417.25
attention,16,512,16,128,1,2436.18
attention,16,512,16,256,1,2343.39
attention,16,512,16,512,1,2218.01
attention,16,512,16,1024,1,1861.92
attention,16,512,16,2048,1,1215.55
attention,16,512,16,4096,1,1214.42
attention,16,512,16,8192,1,1215.39
attention,16,512,16,16384,1,1222.06
attention,16,512,32,16,1,3858.67
attention,16,512,32,32,1,3856.4
attention,16,512,32,64,1,3839.2
attention,16,512,32,128,1,3738.78
attention,16,512,32,256,1,3545.71
attention,16,512,32,512,1,3417.85
attention,16,512,32,1024,1,2687.26
attention,16,512,32,2048,1,1385.32
attention,16,512,32,4096,1,1383.97
attention,16,512,32,8192,1,1393
attention,16,512,32,16384,1,1415.29
attention,16,512,64,16,1,2185.55
attention,16,512,64,32,1,2194.45
attention,16,512,64,64,1,2088.44
attention,16,512,64,128,1,2161.14
attention,16,512,64,256,1,2063.86
attention,16,512,64,512,1,1927.63
attention,16,512,64,1024,1,1471.44
attention,16,512,64,2048,1,697.154
attention,16,512,64,4096,1,704.217
attention,16,512,64,8192,1,721.353
attention,16,512,64,16384,1,723.088
attention,16,512,128,16,1,3815.39
attention,16,512,128,32,1,3765.86
attention,16,512,128,64,1,3761.9
attention,16,512,128,128,1,3675.45
attention,16,512,128,256,1,3558.34
attention,16,512,128,512,1,3196.53
attention,16,512,128,1024,1,2520.52
attention,16,512,128,2048,1,1308.93
attention,16,512,128,4096,1,1322.9
attention,16,512,128,8192,1,1318.17
attention,16,512,128,16384,1,1320.23
attention,16,1024,0,0,1,842.977
attention,16,1024,1,16,1,919.975
attention,16,1024,1,32,1,919.466
attention,16,1024,1,64,1,918.553
attention,16,1024,1,128,1,915.674
attention,16,1024,1,256,1,911.073
attention,16,1024,1,512,1,898.25
attention,16,1024,1,1024,1,879.808
attention,16,1024,1,2048,1,835.562
attention,16,1024,1,4096,1,836.737
attention,16,1024,1,8192,1,836.123
attention,16,1024,1,16384,1,835.961
attention,16,1024,2,16,1,1017.49
attention,16,1024,2,32,1,1014.67
attention,16,1024,2,64,1,1008.4
attention,16,1024,2,128,1,1003.36
attention,16,1024,2,256,1,996.297
attention,16,1024,2,512,1,971.354
attention,16,1024,2,1024,1,934.913
attention,16,1024,2,2048,1,843.146
attention,16,1024,2,4096,1,842.153
attention,16,1024,2,8192,1,842.856
attention,16,1024,2,16384,1,843.185
attention,16,1024,4,16,1,1204.47
attention,16,1024,4,32,1,1206.54
attention,16,1024,4,64,1,1197.51
attention,16,1024,4,128,1,1186.35
attention,16,1024,4,256,1,1148.71
attention,16,1024,4,512,1,1114.75
attention,16,1024,4,1024,1,1019.04
attention,16,1024,4,2048,1,850.801
attention,16,1024,4,4096,1,850.401
