prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
96,352,1,True,24201.328133333336,24186.328,24297.6564,24306.094
96,384,1,True,25446.151066666665,25431.172,25504.4532,25547.656
96,416,1,True,25035.557333333334,25000.0,25134.4688,25203.672000000002
96,448,1,True,27068.796933333328,27059.843999999997,27156.375200000002,27177.344
96,480,1,True,27962.750000000004,27935.078,28044.3124,28166.25
96,512,1,True,28945.651066666665,28903.593999999997,29030.2968,29220.0
96,544,1,True,29849.2448,29826.094,29931.4844,30012.422000000002
96,576,1,True,32146.4844,32141.094,32192.75,32235.156000000003
96,608,1,True,33211.416666666664,33205.0,33290.7968,33338.75
96,640,1,True,34273.203199999996,34256.094,34376.953199999996,34411.25
96,672,1,True,34274.484399999994,34293.75,34325.203199999996,34390.0
96,704,1,True,36256.15106666667,36246.25,36276.062399999995,36442.5
96,736,1,True,37267.72920000001,37243.594000000005,37417.1876,37493.828
96,768,1,True,38315.15626666667,38310.0,38381.75,38414.844000000005
96,800,1,True,39195.36453333333,39199.922,39238.5,39263.905999999995
96,832,1,True,41127.4896,41119.844,41192.5936,41295.0
96,864,1,True,42159.38026666667,42154.922,42211.4688,42225.0
96,896,1,True,43066.2188,43067.422,43109.4844,43161.25
96,928,1,True,43505.416666666664,43479.922,43623.5624,43713.906
96,960,1,True,44481.13026666667,44497.344,44576.4064,44620.0
96,992,1,True,45371.90106666667,45366.094,45438.25,45477.422
96,1024,1,True,46319.4532,46311.25,46393.703199999996,46431.25
96,1024,1,True,46398.30213333333,46346.25,46520.5936,46774.922
96,1088,1,True,49498.59373333333,49488.75,49551.9844,49694.922
96,1152,1,True,51576.979199999994,51567.5,51663.4688,51752.422000000006
96,1216,1,True,53213.12506666666,53218.594000000005,53279.922,53308.906
96,1280,1,True,55185.32293333334,55164.922,55260.2344,55498.672
96,1344,1,True,58284.125066666675,58227.344000000005,58388.953199999996,58650.078
96,1408,1,True,60591.22400000001,60589.922,60679.922,60709.922
96,1472,1,True,61994.06253333333,61930.0,62178.6408,62463.75
96,1536,1,True,63902.38546666667,63883.75,63976.5936,64000.0
96,1600,1,True,67080.15106666667,67071.328,67157.7032,67273.75
96,1664,1,True,69269.90626666666,69280.0,69329.2344,69386.25
96,1728,1,True,71187.92186666667,71135.0,71307.5624,71428.672
96,1792,1,True,73051.89586666667,73046.094,73103.8748,73116.094
96,1856,1,True,76005.36453333333,75982.344,76030.75,76457.578
96,1920,1,True,78516.14586666667,78478.828,78667.2812,79082.5
128,0,1,True,19750.18746666667,19749.922000000002,19825.0936,19945.0
128,32,1,True,19568.33853333333,19552.578,19700.7032,19752.578
128,64,1,True,21721.177066666667,21693.828,21852.5312,21999.922000000002
128,96,1,True,22908.18226666667,22908.75,22970.234399999998,22988.828
128,128,1,True,19694.828133333336,19703.672000000002,19799.0156,19859.922000000002
128,160,1,True,23316.307333333338,23296.327999999998,23440.5,23447.5
128,192,1,True,24418.9636,24406.25,24500.2188,24587.344
128,224,1,True,24748.588533333335,24767.5,24822.2032,24855.156000000003
128,256,1,True,25788.9636,25788.827999999998,25867.375200000002,25887.343999999997
128,288,1,True,27970.760400000003,27963.906000000003,28026.75,28186.25
128,320,1,True,29816.7084,29829.922,29888.75,29958.594
128,352,1,True,31189.203200000004,31181.25,31293.25,31356.172000000002
128,384,1,True,30568.088533333335,30520.0,30772.3908,31011.406000000003
128,416,1,True,33026.42706666666,33028.75,33131.796800000004,33170.077999999994
128,448,1,True,34121.86986666666,34130.0,34197.922000000006,34220.0
128,480,1,True,35260.416666666664,35228.906,35384.9532,35525.0
128,512,1,True,36308.390666666666,36288.984,36388.7188,36389.922
128,544,1,True,39243.864666666675,39231.015999999996,39298.0936,39323.75
128,576,1,True,40630.54693333334,40618.672,40691.468799999995,40781.172
128,608,1,True,42051.338533333335,42011.172,42162.796800000004,42276.172000000006
128,640,1,True,41993.656266666665,41989.922,42054.7812,42197.5
128,672,1,True,44668.9896,44634.922000000006,44774.2032,44792.5
128,704,1,True,45813.40106666667,45797.578,45900.625199999995,45947.422000000006
128,736,1,True,47196.47920000001,47198.75,47221.375199999995,47288.672
128,768,1,True,48347.55213333333,48322.5,48468.1408,48491.172
128,800,1,True,50732.96346666667,50736.172000000006,50781.5156,50843.75
